System,Amplitude,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
2,1.0,19,1,0.0038546958103382323,0.003059019667489713,0.9998960502382752,1.0,0.3251347756162644,0.16035231203986117,0,0.0,0.12009342327118566
2,1.0,19,2,0.004482795512201227,0.0034226075686289697,0.9997842279117269,1.0,0.2873300085013199,0.19490261480406207,0,0.0,0.07414708484725532
2,1.0,20,1,0.0043668517786964595,0.003319947593040837,0.9998644867546747,1.0,0.3249972156795639,0.18150073268052608,0,0.0,0.12024331174831211
2,1.0,20,2,0.004045370084455819,0.0030811783995514153,0.9998229772682532,1.0,0.2883164641254977,0.17707113011333098,0,0.0,0.07825676372187175
2,1.15,1,1,0.005822839941625871,0.0041569647016543925,0.9998076594008773,1.0,0.33878291827777646,0.18612641191229465,0,0.0,0.10872535151587984
2,1.15,1,2,0.006126040612745865,0.004431873485377136,0.9996684677963518,1.0,0.3122433619231082,0.18992966529959968,0,0.0,0.0721974281108672
2,1.15,2,1,0.006763719145106327,0.004637650269658473,0.9997365685432561,1.0,0.33706814189158013,0.17347773682752918,0,0.0,0.0989173219825222
2,1.15,2,2,0.006818542812932999,0.004852889459730717,0.9996063555877307,1.0,0.30870632570014545,0.19098820640760178,0,0.0,0.07078553136635446
2,1.15,3,1,0.006562853242872116,0.004722751501683551,0.9997619211866753,1.0,0.33796016268585977,0.1677736906733929,0,0.0,0.09878038254775995
2,1.15,3,2,0.006463223721277687,0.004824544329176764,0.9996281549056092,1.0,0.31138091077228974,0.18307690961439313,0,0.0,0.0726350505504442
2,1.15,4,1,0.006274549897316208,0.0045069080768768595,0.999785294529603,1.0,0.33832285762017317,0.16053018871592087,0,0.0,0.10540078624492963
2,1.15,4,2,0.006116323089213513,0.004511141610816744,0.9996685580587613,1.0,0.3112001650357839,0.19250435691131126,0,0.0,0.07670318426767493
2,1.15,5,1,0.00638136143684721,0.004529631393811505,0.9997679058423465,1.0,0.33833547997274016,0.16373629160789116,0,0.0,0.11220876501604335
2,1.15,5,2,0.0067229213979700065,0.004966170640696328,0.9996067948649833,1.0,0.31135261541750076,0.19420053845686813,0,0.0,0.08120810694643824
2,1.15,6,1,0.0062409447442301055,0.0045453898837036905,0.9997809811978582,1.0,0.33618682935681493,0.13617909750906695,0,0.0,0.10665019387485242
2,1.15,6,2,0.006312766015837452,0.004674620034253603,0.9996314041037404,1.0,0.3081945935196382,0.1834864580930924,0,0.0,0.0761195993406148
2,1.15,7,1,0.006572515734711177,0.004568894890772271,0.9997536637528198,1.0,0.33668959728667563,0.17816760612625668,0,0.0,0.1088094633277363
2,1.15,7,2,0.006445857543693615,0.004632972018019721,0.9996251959812684,1.0,0.3088498179725251,0.20682724020226914,0,0.0,0.08027715621650547
2,1.15,8,1,0.005995805059634804,0.004367631425264606,0.9998065923325494,1.0,0.33838689361171426,0.13558099849174426,0,0.0,0.09782838956160678
2,1.15,8,2,0.006251077849813652,0.004595342559029135,0.9996466690959319,1.0,0.3107167923855205,0.1958630472472388,0,0.0,0.08385129423298059
2,1.15,9,1,0.006507040167383163,0.004467423858742429,0.9997725362034696,1.0,0.33677745283425237,0.1417630420016494,0,0.0,0.11271567437096294
2,1.15,9,2,0.007068909924388696,0.004814676033321516,0.9995349888513733,1.0,0.3080117224979643,0.1732585064894065,0,0.0,0.07363778594524434
2,1.15,10,1,0.006262018780663405,0.004513022838434871,0.999777711212273,1.0,0.337498298564903,0.1723859252087296,0,0.0,0.11157397010248152
2,1.15,10,2,0.006014621352338809,0.004371348553993971,0.9996825592859717,1.0,0.31194485548687223,0.20221117990545326,0,0.0,0.07835072849160583
