Method,System,Amplitude,NoiseStd,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
MANFIZ_validation,1,1.0,0.02,12,2,0.021980056384217354,0.018658488153230488,0.9981627284693776,1.0,0.4677242970852921,0.18075869904170214,0,0.0,0.09979236613397349
MANFIZ_noise,1,1.0,0.005,13,1,0.008992253178686209,0.0067691981424135425,0.9997621564852502,1.0,0.563810850733927,0.20770302739252125,0,0.0,0.18196456214823986
MANFIZ_noise,1,1.0,0.005,13,2,0.007306064305003712,0.005885907888293808,0.9998055172896777,1.0,0.5939407261737658,0.21692553509305956,0,0.0,0.16512399040643047
MANFIZ_validation,1,1.0,0.005,13,1,0.008992253178686209,0.0067691981424135425,0.9997621564852502,1.0,0.4401943691316899,0.16216378771493423,0,0.0,0.12828139574392552
MANFIZ_validation,1,1.0,0.005,13,2,0.007306064305003712,0.005885907888293808,0.9998055172896777,1.0,0.46923664925300584,0.17137974673032044,0,0.0,0.10957193329100096
MANFIZ_noise,1,1.0,0.01,13,1,0.012818540011009594,0.010310385454407718,0.9995169015260739,1.0,0.5638548117295618,0.20744096344054885,0,0.0,0.17499813387161428
MANFIZ_noise,1,1.0,0.01,13,2,0.011648513016378353,0.009759997646019881,0.9995057773029327,1.0,0.5939959188874068,0.21621625808636113,0,0.0,0.15913197471464088
MANFIZ_validation,1,1.0,0.01,13,1,0.012818540011009594,0.010310385454407718,0.9995169015260739,1.0,0.4402383301273243,0.16196272771876508,0,0.0,0.12078142346891949
MANFIZ_validation,1,1.0,0.01,13,2,0.011648513016378353,0.009759997646019881,0.9995057773029327,1.0,0.4692918419666458,0.1708236080317543,0,0.0,0.1038985307641383
MANFIZ_noise,1,1.0,0.02,13,1,0.02232576708346955,0.018656327541969595,0.9985365107039821,1.0,0.5639851084077562,0.20693448415930657,0,0.0,0.15998605830288254
MANFIZ_noise,1,1.0,0.02,13,2,0.021525702818730227,0.018376268920998154,0.9983142470179841,1.0,0.5941624011525664,0.2148322002985609,0,0.0,0.14719033232673215
MANFIZ_validation,1,1.0,0.02,13,1,0.02232576708346955,0.018656327541969595,0.9985365107039821,1.0,0.4403686268055206,0.16157776733717985,0,0.0,0.10252452357497382
MANFIZ_validation,1,1.0,0.02,13,2,0.021525702818730227,0.018376268920998154,0.9983142470179841,1.0,0.469458324231806,0.16974275812059852,0,0.0,0.09195688837622956
